PSTATABB,PNAME,LAT,LON,PLGENACL,PLGENAOL,PLGENAGS,PLGENANC,PLGENAHY,PLGENABM,PLGENAWI,PLGENASO,PLGENAGT,PLGENAOT
AK,Klawock Power Generation Station,55.553197,-133.08535,0,"1,331",0,0,0,0,0,0,0,0
AK,Kodiak Microgrid,57.789956,-152.396982,0,74,0,0,0,0,0,0,0,0
AK,Kotlik,63.03215,-163.553106,0,"1,922",0,0,0,0,0,0,0,0
AK,Kotzebue,66.837778,-162.556944,0,"16,427",0,0,0,0,"4,960",0,0,-90
AK,Koyuk,64.932089,-161.167103,0,"1,291",0,0,0,0,0,0,0,0
AK,Lake Dorothy Hydroelectric Project,58.2325,-134.0533,0,0,0,0,"81,558",0,0,0,0,0
AK,Lemon Creek,58.3536,-134.4953,0,-695,0,0,0,0,0,0,0,0
AK,Mahoney Lake Hydroelectric,55.419444,-131.537778,,,,,,,,,,
AK,Marshall,61.878186,-162.085147,0,"1,466",0,0,0,0,0,0,0,0
AK,McGrath,62.95699,-155.594997,0,"2,111",0,0,0,0,0,0,0,0
AK,Mountain Village,62.085569,-163.729072,0,"2,724",0,0,0,0,0,0,0,0
AK,Naknek,58.730417,-157.007222,0,"24,329",0,0,0,0,0,0,0,0
AK,New Stuyahok,59.448358,-157.325528,0,"1,803",0,0,0,0,0,0,0,0
AK,Newhalen,59.899054,-154.698735,0,61,0,0,"3,263",0,0,0,0,0
AK,Nikiski Co-Generation,60.676539,-151.377713,0,0,"404,744",0,0,0,0,0,0,0
AK,Noatak,67.570931,-162.965728,0,"1,898",0,0,0,0,0,0,0,0
AK,Noorvik,66.834519,-161.038717,0,"1,972",0,0,0,0,0,0,0,0
AK,North Pole,64.7356,-147.3481,0,"369,250",0,0,0,0,0,0,0,0
AK,Northway,62.9617,-141.9372,0,"1,102",0,0,0,0,0,0,0,0
AK,NSB Anaktuvuk Pass,68.13795,-151.741017,0,"3,804",0,0,0,0,0,0,0,0
AK,NSB Atqasuk Utility,70.4826,-157.4252,0,"2,965",0,0,0,0,0,0,0,0
AK,NSB Kaktovik Utility,70.125617,-143.619033,0,"4,449",0,0,0,0,0,0,0,0
AK,NSB Nuiqsut Utility,70.220565,-150.993492,0,926,"5,854",0,0,0,0,0,0,0
AK,NSB Point Hope Utility,68.348424,-166.737211,0,"6,512",0,0,0,0,0,0,0,0
AK,NSB Point Lay Utility,69.740833,-163.005833,0,"4,032",0,0,0,0,0,0,0,0
AK,NSB Wainwright Utility,70.642877,-160.020461,0,"6,947",0,0,0,0,0,0,0,0
AK,Nunapitchuk,60.89588,-162.459756,,,,,,,,,,
AK,Nymans Plant Microgrid,57.731608,-152.507044,0,0,0,0,0,0,0,0,0,0
AK,Orca,60.555889,-145.752983,0,"7,021",0,0,0,0,0,0,0,0
AK,Pelican,57.957197,-136.220095,0,162,0,0,"1,147",0,0,0,0,0
AK,Petersburg,56.81104,-132.957091,0,413,0,0,"8,906",0,0,0,0,0
AK,Pillar Mountain Wind Project Microgrid,57.7869,-152.4406,0,0,0,0,0,0,"26,170",0,0,0
AK,Pilot Station,61.936456,-162.880706,0,"1,802",0,0,0,0,0,0,0,0
AK,Port Lions Microgrid,57.864775,-152.855441,,,,,,,,,,
AK,Power Creek,60.588686,-145.604539,0,0,0,0,"15,171",0,0,0,0,0
AK,Purple Lake,55.091263,-131.544978,0,0,0,0,"8,157",0,0,0,0,0
AK,Quinhagak,59.747436,-161.910647,0,"1,591",0,0,0,0,0,0,0,0
AK,S W Bailey,55.357397,-131.69696,0,"18,614",0,0,0,0,0,0,0,0
AK,Salmon Creek 1,58.3269,-134.4631,0,0,0,0,"24,389",0,0,0,0,0
AK,Savoonga,63.695267,-170.475661,0,"2,095",0,0,0,0,0,0,0,0
AK,Scammon Bay,61.843036,-165.581497,0,"1,641",0,0,0,0,0,0,0,0
AK,Selawik,66.606778,-160.014808,0,"2,685",0,0,0,0,0,0,0,0
AK,Seldovia,59.439542,-151.713439,0,85,0,0,0,0,0,0,0,0
AK,Seward (AK),60.130922,-149.43501,0,144,0,0,0,0,0,0,0,0
AK,Shishmaref,66.255072,-166.073589,0,"1,590",0,0,0,0,0,0,0,0
AK,Shungnak,66.888114,-157.140206,0,"1,583",0,0,0,0,0,0,0,0
AK,Silvis,55.381402,-131.517758,0,0,0,0,"9,221",0,0,0,0,0
AK,Skagway,59.4545,-135.3131,0,-37,0,0,"1,988",0,0,0,0,0
AK,Slana Generating Station,62.592756,-143.588869,0,"1,336",0,0,0,0,0,0,0,0
AK,Snake River,64.505331,-165.429814,0,"30,191",0,0,0,0,"2,044",0,0,0
AK,Snettisham,58.1415,-133.737,0,0,0,0,"259,856",0,0,0,0,0
AK,Soldotna,60.499444,-150.997222,0,0,"23,756",0,0,0,0,0,0,0
AK,Solomon Gulch,61.0828,-146.3033,0,0,0,0,"42,087",0,0,0,0,0
AK,South Fork,55.563333,-132.891111,0,0,0,0,"4,146",0,0,0,0,0
AK,Southcentral Power Project,61.167417,-149.905304,0,0,"815,365",0,0,0,0,0,0,0
AK,St Marys IC,62.051525,-163.172567,0,"3,024",0,0,0,0,0,0,0,0
AK,St. Michael,63.4775,-162.0383,,,,,,,,,,
AK,Stebbins,63.521047,-162.286322,0,"3,462",0,0,0,0,0,0,0,0
AK,Swampy Acres,57.77556,-152.48028,0,0,0,0,0,0,0,0,0,0
AK,Swan Lake,55.615208,-131.356111,0,0,0,0,"58,416",0,0,0,0,0
AK,Sweetheart Lake Hydroelectric Facility,57.9449,-133.6867,,,,,,,,,,
AK,Terror Lake Microgrid,57.6861,-152.895,0,0,0,0,"121,969",0,0,0,0,0
AK,Tesoro Kenai Cogeneration Plant,60.677,-151.3815,0,0,"64,727",0,0,0,0,0,0,0
AK,Thorne Bay Plant,55.68586,-132.52892,0,77,0,0,0,0,0,0,0,0
AK,TNSG North Plant,70.235278,-148.383611,0,0,"61,008",0,0,0,0,0,0,0
AK,TNSG South Plant,70.2,-148.466667,0,0,-480,0,0,0,0,0,0,0
AK,Togiak,59.059744,-160.380278,0,"3,017",0,0,0,0,0,0,0,0
AK,Tok,63.33552,-142.99997,0,"9,185",0,0,0,0,0,0,0,0
AK,Toksook Bay,60.530142,-165.108575,0,"2,886",0,0,0,0,0,0,0,0
AK,Tyee Lake Hydroelectric Facility,56.216403,-131.504344,0,0,0,0,"117,206",0,0,0,0,0
AK,Unalakleet,63.876789,-160.790414,0,"3,298",0,0,0,0,0,0,0,0
AK,Unalaska Power Module,53.863993,-166.512591,0,201,0,0,0,0,0,0,0,0
AK,Unisea G 2,53.8796,-166.5532,0,"27,726",0,0,0,"2,790",0,0,0,0
AK,University of Alaska Fairbanks,64.854171,-147.822075,"35,858","5,780",0,0,0,0,0,0,0,0
AK,Upper Kalskag,61.526858,-160.348128,0,"1,531",0,0,0,0,0,0,0,0
AK,Utility Plants Section,64.825601,-147.648627,"90,177",0,0,0,0,0,0,0,0,0
AK,Valdez,61.1303,-146.3647,0,888,0,0,0,0,0,0,0,0
AK,Valdez Cogen,61.0839,-146.2529,0,"16,993",0,0,0,0,0,0,0,0
AK,Viking,55.540708,-133.102344,0,0,0,0,0,0,0,0,0,0
AK,Westward Seafoods,53.858508,-166.55288,0,"11,797",0,0,0,0,0,0,0,0
AK,Whitman,55.328056,-131.530833,0,0,0,0,"6,998",0,0,0,0,0
AK,Wrangell,56.460976,-132.379439,0,520,0,0,0,0,0,0,0,0
AK,Yakutat,59.544553,-139.724306,0,"5,711",0,0,0,0,0,0,0,0
AL,ABC Coke,33.582793,-86.779866,0,0,486,0,0,0,0,0,0,"4,804"
AL,Alabama Pine Pulp,31.5825,-87.4889,0,235,"19,718",0,0,"393,127",0,0,0,0
AL,Alabama River Pulp,31.5825,-87.4889,0,120,"27,886",0,0,"280,057",0,0,0,0
AL,Albertville,34.363389,-86.223889,0,0,0,0,0,0,0,0,0,0
AL,AMEA Sylacauga Plant,33.1661,-86.2825,0,0,"34,570",0,0,0,0,0,0,0
AL,ANAD Solar Array,33.626728,-85.969481,0,0,0,0,0,0,0,"17,168",0,0
AL,APC1,,,,,,,,,,,,
AL,APC2,,,,,,,,,,,,
AL,APC3,,,,,,,,,,,,
AL,Bankhead Dam,33.458665,-87.356823,0,0,0,0,-392,0,0,0,0,0
AL,Barry,31.0069,-88.0103,"3,634,297",0,"6,830,619",0,0,0,0,0,0,0
AL,Bartletts Ferry,32.661976,-85.091552,0,0,0,0,"492,524",0,0,0,0,0
AL,Bellefonte,34.7092,-85.9278,,,,,,,,,,
AL,Boise Cascade Pulp & Paper Mill,31.4894,-87.8989,0,144,"45,664",0,0,"76,527",0,0,0,0
AL,Browns Ferry,34.7042,-87.1189,0,0,0,"25,397,781",0,0,0,0,0,0
AL,Calhoun Energy Center,33.5883,-85.9731,0,"28,596","167,988",0,0,0,0,0,0,0
AL,Charles R Lowman,31.488019,-87.910747,"1,245,578","11,064",0,0,0,0,0,0,0,0
AL,Colbert,34.7439,-87.8486,0,0,"68,000",0,0,0,0,0,0,0
AL,Crestwood Dothan,31.262356,-85.402737,0,773,0,0,0,0,0,0,0,0
AL,"Cumblerland Land Holdings, LLC",34.94974,-86.868053,0,0,0,0,0,0,0,76,0,0
AL,Decatur Energy Center,34.6292,-87.0214,0,0,"2,702,900",0,0,0,0,0,0,0
AL,Decatur-Morgan Co LFG Recovery Project,34.623611,-87.101111,0,0,0,0,0,"12,556",0,0,0,0
AL,District 100 Transco Gas Pipe Line,32.668889,-86.72,,,,,,,,,,
AL,E B Harris Generating Plant,32.381352,-86.574366,0,0,"5,865,446",0,0,0,0,0,0,0
AL,E C Gaston,33.244211,-86.458056,"2,851,865",176,"3,235,213",0,0,0,0,0,0,0
AL,ExxonMobil Mobile Bay Onshore,30.43203,-88.18241,0,0,"88,024",0,0,0,0,0,0,0
AL,Fort Rucker Solar Array,31.331148,-85.73019,0,0,0,0,0,0,0,"13,376",0,0
AL,Gadsden,34.0128,-85.9708,0,0,"188,877",0,0,0,0,0,0,0
AL,Gantt,31.4033,-86.479469,0,0,0,0,904,0,0,0,0,0
AL,Georgia-Pacific Brewton Mill,31.077,-87.1116,0,0,"223,712",0,0,"231,594",0,0,0,0
AL,Georgia-Pacific Consr Prods LP-Naheola,32.2268,-88.0252,"43,776","2,559","79,788",0,0,"166,926",0,0,0,0
AL,Goat Rock,32.60965,-85.0805,0,0,0,0,"175,597",0,0,0,0,0
AL,Gorgas,33.644344,-87.196486,"5,490,646","7,242",0,0,0,0,0,0,0,0
AL,Greene County,32.6017,-87.7811,0,"10,826","1,162,265",0,0,0,0,0,0,0
AL,Guntersville,34.421272,-86.393931,0,0,0,0,"733,655",0,0,0,0,0
AL,H Neely Henry Dam,33.7845,-86.0524,0,0,0,0,"252,836",0,0,0,0,0
AL,Harris Dam,33.258281,-85.616047,0,0,0,0,"167,486",0,0,0,0,0
AL,Hillabee Energy Center,33.000669,-85.903278,0,0,"4,376,115",0,0,0,0,0,0,0
AL,Hog Bayou Energy Center,30.7478,-88.0575,0,0,"1,137,089",0,0,0,0,0,0,0
AL,Holt Dam,33.2553,-87.4495,0,0,0,0,"168,817",0,0,0,0,0
AL,International Paper Pine Hill Mill,31.9698,-87.4806,76,"1,213","47,966",0,0,"426,123",0,0,0,0
AL,International Paper-Prattville Mill,32.4187,-86.4718,0,"2,331","121,248",0,0,"435,448",0,0,0,0
AL,International Paper-Riverdale Mill,32.426016,-86.870912,0,0,"373,689",0,0,"231,518",0,0,0,0
AL,James H Miller Jr,33.6319,-87.0597,"18,000,241",0,"324,943",0,0,0,0,0,0,0
AL,Jones Bluff,32.324242,-86.784319,0,0,0,0,"286,413",0,0,0,0,0
AL,Jordan Dam,32.6189,-86.2548,0,0,0,0,"435,727",0,0,0,0,0
AL,Joseph M Farley,31.2231,-85.1116,0,0,0,"14,065,046",0,0,0,0,0,0
AL,Kimberly Clark Mobile - CHP Plant,30.737741,-88.04977,,,,,,,,,,
AL,LaFayette Solar Farm,32.876313,-85.38821,0,0,0,0,0,0,0,"160,946",0,0
AL,Langdale,32.813836,-85.167786,0,0,0,0,0,0,0,0,0,0
AL,Lay Dam,32.9633,-86.5187,0,0,0,0,"685,072",0,0,0,0,0
AL,Lewis Smith Dam,33.9406,-87.1077,0,0,0,0,"237,885",0,0,0,0,0
AL,Logan Martin Dam,33.425878,-86.337547,0,0,0,0,"445,383",0,0,0,0,0
AL,Martin Dam,32.680394,-85.911442,0,0,0,0,"348,530",0,0,0,0,0
AL,McIntosh (7063),31.2546,-88.0299,0,0,"432,523",0,0,0,0,0,0,0
AL,McWilliams,31.400255,-86.476449,0,51,"3,957,078",0,0,0,0,0,0,0
AL,Millers Ferry,32.100881,-87.399767,0,0,0,0,"287,505",0,0,0,0,0
AL,Mitchell Dam,32.806025,-86.444892,0,0,0,0,"543,305",0,0,0,0,0
AL,Mobile Energy Services LLC,30.736487,-88.051643,0,0,"188,964",0,0,"142,486",0,0,0,0
AL,Morgan Energy Center,34.6397,-87.0639,0,0,"4,532,851",0,0,0,0,0,0,0
AL,Muscle Shoals,34.76973,-87.90454,,,,,,,,,,
AL,Pinckard Solar,31.297,-85.536,,,,,,,,,,
AL,Plant H. Allen Franklin,32.6078,-85.0975,0,0,"12,248,562",0,0,0,0,0,0,0
AL,Point A,31.361146,-86.518307,0,0,0,0,"13,880",0,0,0,0,0
AL,Redstone Arsenal,34.610987,-86.611551,0,0,0,0,0,0,0,"17,670",0,-49
AL,"River Bend Solar, LLC",34.831511,-87.842204,0,0,0,0,0,0,0,"148,016",0,0
AL,Rock-Tenn Mill,32.4541,-87.9759,0,373,"6,814",0,0,"284,874",0,0,0,0
AL,SABIC Innovative Plastics - Burkville,32.310226,-86.52542,0,0,"571,146",0,0,0,0,0,0,0
AL,Sand Valley Power Station,34.343875,-85.866103,0,0,0,0,0,"25,116",0,0,0,0
AL,Sloss Industries Corp,33.568164,-86.79873,0,0,0,0,0,0,0,0,0,0
AL,Tenaska Central Alabama Gen Station,32.6497,-86.74,0,0,"4,116,919",0,0,0,0,0,0,0
AL,Tenaska Lindsay Hill Generating Station,32.6514,-86.7386,0,0,"1,882,859",0,0,0,0,0,0,0
AL,Theodore Cogeneration,30.525445,-88.128477,0,0,"1,325,015",0,0,0,0,0,0,0
AL,Thurlow Dam,32.535436,-85.887614,0,0,0,0,"209,097",0,0,0,0,0
AL,Tom Bevill Lock and Dam Hydroelectric,33.210892,-88.289611,,,,,,,,,,
AL,U S Alliance Coosa Pines,33.328107,-86.356825,0,0,"42,280",0,0,"111,115",0,0,0,0
AL,Walter Bouldin Dam,32.583889,-86.283056,0,0,0,0,"687,921",0,0,0,0,0
AL,Walton Discover Power Facility,32.54098,-85.038879,0,0,"14,624",0,0,0,0,0,0,0
AL,Washington County Cogen (Olin),31.2504,-88.0156,0,0,"809,934",0,0,0,0,0,0,0
AL,Weiss Dam,34.172142,-85.753806,0,0,0,0,"280,944",0,0,0,0,0
AL,Westervelt Moundville Cogen,32.960714,-87.655419,0,0,0,0,0,"37,819",0,0,0,0
AL,WestRock Coated Board,32.1761,-85.0272,0,0,"205,037",0,0,"591,093",0,0,0,0
AL,Wheeler Dam,34.8069,-87.3819,0,0,0,0,"1,623,825",0,0,0,0,0
AL,Widows Creek,34.883022,-85.755253,,,,,,,,,,
AL,Wilson Dam,34.79782,-87.62537,0,0,0,0,"2,923,233",0,0,0,0,0
AL,Yates Dam,32.5743,-85.8901,0,0,0,0,"142,992",0,0,0,0,0
AL,Yellowhammer Gas Plant,30.403538,-88.12833,0,0,"17,911",0,0,0,0,0,0,0
AR,Archer Daniels Midland Little Rock,34.7,-92.199722,,,,,,,,,,
AR,Arkansas Nuclear One,35.311,-93.2351,0,0,0,"12,720,818",0,0,0,0,0,0
AR,Ashdown,33.6417,-94.1083,"45,505",0,"71,072",0,0,"533,633",0,0,0,"5,087"
AR,Beaver Dam,36.421507,-93.847373,0,0,0,0,"119,380",0,0,0,0,0
